trait	alpha	aic	logLik	GBDT40	Dstats
K00928	3.37825176531792	3546.70073873783	-1771.35036936892	No	0.946
K00872	4.16911047984771	4225.53326489311	-2110.76663244656	No	0.981
K00003	2.74450701698147	2749.14122458284	-1372.57061229142	No	0.998
K00783	0.974608341730004	1408.36330525521	-702.181652627603	No	1.0
K03798	1.43134332659951	1819.33008907866	-907.665044539332	No	0.006
K00016	6.28510606153237	4333.4620121216	-2164.7310060608	No	0.801
K07238	8.44647869201602	6027.66690848119	-3011.83345424059	No	0.074
K05919	2.94275543097784	1700.01357557525	-848.006787787627	Yes	0.977
K00633	25.7882020965708	1545.39091357282	-770.695456786411	No	0.009
K00661	17.9901435665369	9022.0429811829	-4509.02149059145	No	0.0
K00384	5.94440224444268	1889.06290696273	-942.531453481366	No	0.0
K03671	1.14596124496885	964.620698713942	-480.310349356971	No	0.904
K03628	0.655070742465094	1083.17223439357	-539.586117196784	No	0.998
K03558	2.13221337551837	2518.68505285292	-1257.34252642646	No	0.993
K06173	1.22574980721701	1322.02844582399	-659.014222911993	No	0.097
K16785	2.87011788890846	3308.29719486901	-1652.1485974345	No	1.0
K16784	11.2937398067909	2523.54688555656	-1259.77344277828	No	0.945
K03664	4.726996158574	790.189411282861	-393.094705641431	No	0.0
K09117	2.14273096272072	2642.80375824701	-1319.40187912351	No	0.998
K15923	13.0253549005598	4179.33903800174	-2087.66951900087	No	0.116
K00375	12.1785328286059	7240.96249553286	-3618.48124776643	No	0.0
K07636	3.21257245255451	3257.13173153354	-1626.56586576677	No	1.0
K02039	3.25935066700972	3049.51932163114	-1522.75966081557	No	0.958
K02036	5.05606653740743	3038.17011595833	-1517.08505797917	No	0.807
K02038	5.01861548131325	3406.59273963065	-1701.29636981532	No	0.728
K02037	4.913403532376	3380.68946216812	-1688.34473108406	No	0.639
K02040	4.03655914475612	2704.85053247947	-1350.42526623973	No	0.685
K03530	2.1272839630221	2652.2725249222	-1324.1362624611	No	0.998
K00088	1.49320029488577	1298.78633159533	-647.393165797663	No	0.285
K21071	4.09483603952441	3247.21965553863	-1621.60982776932	No	0.999
K03310	8.01222875836148	6300.48498649596	-3148.24249324798	No	0.15
K04487	1.77564014568221	1690.83594761014	-843.417973805072	No	0.963
K00700	6.68646232806178	5621.4336484853	-2808.71682424265	No	0.404
K00975	5.37699233846038	4951.59324180123	-2473.79662090061	No	0.891
K00703	5.49356052836148	5084.00971047398	-2540.00485523699	No	0.89
K11312	13.5178960733404	2429.86704572131	-1212.93352286066	No	0.26
K07560	1.54377034706984	2151.37376620679	-1073.68688310339	No	0.997
K02601	0.722988348962458	935.771559537796	-465.885779768898	No	0.405
K03073	8.13073756392169	2688.99680698611	-1342.49840349305	No	0.001
K02913	7.78175162620428	2189.1643967842	-1092.5821983921	No	0.097
K09013	4.3924639516837	3020.77929237437	-1508.38964618718	No	0.992
K06196	3.33162307708124	3289.66012448218	-1642.83006224109	No	0.999
K02030	4.39223737639238	2926.09540164527	-1461.04770082264	No	0.946
K02028	2.3927549606126	2602.36556078047	-1299.18278039024	No	1.0
K10822	1.52978220022256	483.937450681508	-239.968725340754	No	0.813
K23060	11.6715675007884	1466.44291990313	-731.221459951565	No	0.824
K02029	3.23116146201509	3364.75632602024	-1680.37816301012	No	0.994
K02528	4.8691648865486	2036.8796506377	-1016.43982531885	No	0.005
K02428	1.18320233219118	1467.18608154749	-731.593040773743	No	0.264
K01875	3.24830042986437	910.657366549006	-453.328683274503	No	0.0
K09765	3.62010136133055	3300.25750609586	-1648.12875304793	No	0.971
K06959	3.23591746342619	3708.88566916816	-1852.44283458408	No	0.972
K02342	6.33473875766606	1760.41594811142	-878.207974055711	No	0.23
K03763	0.403966475816024	422.802872284467	-209.401436142233	No	1.0
K03526	1.0366092143161	1546.04734117944	-771.023670589722	No	0.999
K10112	5.16356022394728	4967.19800468639	-2481.5990023432	No	0.859
K00145	4.90822306048984	3744.03889638589	-1870.01944819295	No	0.458
K00930	4.61678316472457	3758.64320842504	-1877.32160421252	No	0.703
K05995	16.7066368238892	5773.79329163493	-2884.89664581746	No	0.003
K22468	5.62677328471016	5153.3136110613	-2574.65680553065	No	0.726
K01596	2.44544892636231	1948.56199785454	-972.280998927268	No	1.0
K02372	3.64238074572894	2619.85882583367	-1307.92941291683	No	0.999
K02242	2.51010946624869	3566.91580355381	-1781.4579017769	No	0.965
K19302	8.80318805468474	5560.33726402961	-2778.16863201481	No	0.007
K06409	1.23023155108937	565.384701281363	-280.692350640682	No	1.0
K04762	3.40694103212047	3715.17095401731	-1855.58547700866	No	0.987
K01915	1.94900806277341	1130.19595230793	-563.097976153963	No	0.578
K03320	5.92763405808701	4603.50334107768	-2299.75167053884	No	0.203
